Latitude,Longitude,Route Number,Type,Crash Severity,Incident Date,Road Name,Score
38.068403,-78.497272,743,Arrest,,11/22/2011,2600 HYDRAULIC RD,0.014030319
38.015667,-78.410787,250,Arrest,,3/8/2014,2600 RICHMOND RD,0.016825849
38.015667,-78.410787,250,Arrest,,4/6/2012,2600 RICHMOND RD,0.016825849
38.015667,-78.410787,250,Arrest,,6/25/2011,2600 RICHMOND RD,0.016825849
38.068403,-78.497272,743,Arrest,,11/26/2016,2600 HYDRAULIC RD,0.014030319
38.074764,-78.405713,20,Arrest,,11/13/2015,2600 STONY POINT RD,0.030377569
38.015667,-78.410787,250,Arrest,,5/12/2012,2600 RICHMOND RD,0.016825849
38.071319,-78.498482,743,Arrest,,11/15/2015,2700 HYDRAULIC RD,0.014030319
38.052886,-78.537351,250,Arrest,,1/23/2012,2700 IVY RD,0.016825849
37.961737,-78.520614,20,Arrest,,8/4/2013,2700 SCOTTSVILLE RD,0.030377569
38.016411,-78.406534,250,Arrest,,11/3/2013,2700 RICHMOND RD,0.016825849
38.104332,-78.582387,601,Arrest,,7/15/2013,2700 GARTH RD,0.017077528
38.052886,-78.537351,250,Arrest,,4/15/2012,2700 IVY RD,0.016825849
37.982235,-78.404585,729,Arrest,,1/18/2015,2700 MILTON RD,0.011018371
37.895378,-78.609098,692,Arrest,,9/28/2014,2700 PLANK RD,0.022813036
38.052886,-78.537351,250,Arrest,,6/11/2015,2700 IVY RD,0.016825849
38.052886,-78.537351,250,Arrest,,9/3/2014,2700 IVY RD,0.016825849
38.075757,-78.497443,743,Arrest,,11/8/2015,2800 HYDRAULIC RD,0.014030319
37.966955,-78.623529,29,Arrest,,9/10/2015,2800 MONACAN TRAIL RD,0.012304447
38.075757,-78.497443,743,Arrest,,3/16/2011,2800 HYDRAULIC RD,0.014030319
38.113309,-78.452842,29,Arrest,,10/9/2013,2800 SEMINOLE TR,0.012304447
38.113309,-78.452842,29,Arrest,,1/16/2010,2800 SEMINOLE TR,0.012304447
38.113309,-78.452842,29,Arrest,,2/2/2014,2800 SEMINOLE TRL,0.012304447
38.016801,-78.403084,250,Arrest,,4/21/2015,2800 RICHMOND RD,0.016825849
38.080015,-78.403777,20,Arrest,,10/29/2014,2800 STONY POINT RD,0.030377569
38.075757,-78.497443,743,Arrest,,12/29/2010,2800 HYDRAULIC RD,0.014030319
38.11601,-78.451076,29,Arrest,,7/29/2014,2900 SEMINOLE TR,0.012304447
38.084744,-78.40186,20,Arrest,,2/21/2010,2900 STONY POINT RD,0.030377569
37.956931,-78.526503,20,Arrest,,6/7/2015,2900 SCOTTSVILLE RD,0.030377569
37.967305,-78.627872,29,Arrest,,9/9/2012,2900 MONACAN TR RD,0.012304447
37.957042,-78.403615,729,Arrest,,9/30/2012,2900 BUCK ISLAND RD,0.011018371
38.119643,-78.448701,29,Arrest,,10/13/2012,3000 SEMINOLE TR,0.012304447
38.01395,-78.396578,250,Arrest,,6/11/2011,3000 RICHMOND RD,0.016825849
38.023104,-78.534715,29,Arrest,,5/18/2016,3000 FONTAINE AVE EXT,0.012304447
38.05096,-78.552151,250,Arrest,,2/8/2011,3000 IVY RD,0.016825849
38.01395,-78.396578,250,Arrest,,8/12/2016,3000 RICHMOND RD,0.016825849
38.05096,-78.552151,250,Arrest,,12/24/2015,3000 IVY RD,0.016825849
