Route.Number,Seg.Number,Latitude,Longitude,Incident.Date,Time,Day,Road.Name,Crash.Severity,Direction,Light.Condition,Roadway.Type,Surface.Type,Type,Density.Score,DD.Check.Score,Seg.Density.Score,Seg.DD.Check.Score,Den.Top20Rt,Den.Top50Seg,DD.Top20Rt,DD.Top50Seg
29,116,38.011176,-78.559186,3/1/2012,12:00:00 AM,Sun,1000 MONACAN TR,,,,,,Arrest,0.012304447,2.527853881,0.0005,0.043835616,Yes,No,Yes,No
20,30,38.003784,-78.481111,4/13/2012,12:00:00 AM,Fri,1000 SCOTTSVILLE RD,,,,,,Arrest,0.030377569,1.56347032,0.000322581,0.014611872,Yes,No,Yes,No
29,116,38.011176,-78.559186,8/30/2014,12:00:00 AM,Mon,1000 MONACAN TRAIL RD,,,,,,Arrest,0.012304447,2.527853881,0.0005,0.043835616,Yes,No,Yes,No
631,654,38.062589,-78.463737,8/18/2012,12:00:00 AM,Wed,1000 E RIO RD,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
709,1146,38.00812,-78.38931,5/2/2013,12:00:00 AM,Mon,1000 SHADWELL RD,,,,,,Arrest,0.010714286,0.021917808,0,0.021917808,No,No,No,No
1449,2108,38.056808,-78.439919,8/4/2012,4:30:00 AM,Wed,100 BLUEBERRY RD,,,,,,Arrest,0.007207207,0.007305936,0.008333333,0.007305936,No,No,No,No
29,159,37.895498,-78.871987,3/21/2010,12:00:00 AM,Sat,100 MONACAN TR,,,,,,Arrest,0.012304447,2.527853881,0.000666667,0.058447489,Yes,No,Yes,Yes
656,847,38.061452,-78.508241,4/30/2015,12:00:00 AM,Mon,100 GEORGETOWN RD,,,,,,Arrest,0.0004375,0.051141553,0.0000625,0.007305936,No,No,No,No
29,159,37.895498,-78.871987,1/24/2012,12:46:00 AM,Tue,100 MONACAN TR,,,,,,Arrest,0.012304447,2.527853881,0.000666667,0.058447489,Yes,No,Yes,Yes
1444,2095,38.059847,-78.502522,6/2/2010,10:00:00 PM,Mon,100 RICKY RD,,,,,,Arrest,0.000664653,0.007305936,0.000769231,0.007305936,No,No,No,No
1456,2126,38.07946,-78.486464,5/5/2014,7:15:00 PM,Thu,100 FOUR SEASONS DR,,,,,,Arrest,0.000909091,0.021917808,0.00030303,0.007305936,No,No,No,No
29,159,38.03928,-78.469878,7/26/2012,12:00:00 AM,Thu,100 250 BYPASS,,,,,,Arrest,0.012304447,2.527853881,0.000666667,0.058447489,Yes,No,Yes,Yes
29,159,38.03928,-78.469878,7/20/2012,12:00:00 AM,Fri,100 250 BYPASS,,,,,,Arrest,0.012304447,2.527853881,0.000666667,0.058447489,Yes,No,Yes,Yes
29,159,37.895498,-78.871987,3/17/2014,12:00:00 AM,Tue,100 MONACAN TR,,,,,,Arrest,0.012304447,2.527853881,0.000666667,0.058447489,Yes,No,Yes,Yes
6,1,37.80786,-78.502787,7/14/2013,12:00:00 AM,Sat,100 IRISH RD,,,,,,Arrest,0.022074779,0.226484018,0.009,0.065753425,Yes,Yes,Yes,Yes
6,1,37.80786,-78.502787,9/8/2013,12:00:00 AM,Sun,100 IRISH RD,,,,,,Arrest,0.022074779,0.226484018,0.009,0.065753425,Yes,Yes,Yes,Yes
1116,1690,38.03335,-78.455639,10/11/2010,4:30:00 PM,Wed,100 RIVERBEND DR,,,,,,Arrest,0.001166667,0.102283105,0.001166667,0.102283105,No,Yes,No,Yes
795,1407,37.801173,-78.496531,9/8/2011,12:00:00 AM,Sun,100 HARDWARE ST,,,,,,Arrest,0.027658537,0.16803653,0.008510638,0.029223744,Yes,No,Yes,No
250,447,38.030472,-78.48183,10/6/2012,12:00:00 AM,Fri,100 W MAIN ST,,,,,,Arrest,0.016825849,1.928767123,0.000121951,0.007305936,Yes,No,Yes,No
1116,1690,38.03335,-78.455639,11/3/2011,11:26:00 PM,Tue,100 RIVERBEND DR,,,,,,Arrest,0.001166667,0.102283105,0.001166667,0.102283105,No,Yes,No,Yes
631,652,38.018539,-78.513341,9/28/2015,12:00:00 AM,Sat,100 OLD LYNCHBURG RD,,,,,,Arrest,0.022779613,1.234703196,0.76,0.277625571,Yes,Yes,Yes,Yes
29,114,38.066721,-78.487546,4/13/2013,12:00:00 AM,Fri,1100 SEMINOLE TR,,,,,,Arrest,0.012304447,2.527853881,0.0005,0.043835616,Yes,No,Yes,No
631,654,38.066991,-78.466321,1/25/2010,12:00:00 AM,Wed,1100 E RIO RD,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
